Nome;Desenvolvedor;Produtor;Genero(s);Sistema(s) operacional(is);Data de lancamento
_summer;Hooksoft;Hook;Visual novel;Microsoft Windows, PlayStation 2;15 de julho de 2005
0 A.D.;Wildfire Games;Wildfire Games;RTS;Microsoft Windows, Linux, macOS;16 de agosto de 2010
007 Legends;Eurocom;Activision;First-person shooter;Microsoft Windows;2 de novembro de 2012
007: Licence to Kill;Quixel;Domark;Top-down shooter;MS-DOS;20 de abril de 1989
007: Quantum of Solace;Treyarch, Beenox;Activision, Square Enix;First-person shooter;Microsoft Windows;31 de outubro de 2008
1-0 Soccer Manager;New Era Software;Wizard Games;Sports, management;MS-DOS;1992
101 Dalmatians: Escape from DeVil Manor;DreamForge Intertainment;Disney Interactive;Action, adventure, strategy;Microsoft Windows;1997
102 Dalmatians: Puppies to the Rescue;Crystal Dynamics;Disney Interactive;Platform;Microsoft Windows;2000
10th Frame;Access Software;US Gold;Sports;MS-DOS;1986
140;Jeppe Carlson;;Platformer;Microsoft Windows, Linux, macOS;16 de outubro de 2013
18 Wheels of Steel: Haulin';SCS Software;ValuSoft;Vehicle simulation;Microsoft Windows;8 de dezembro de 2006
180;Ste Pickford, David Whittaker;Mastertronic Added Dimension;Sports;Commodore 64;1986
1830: Railroads & Robber Barons;Simtex;Avalon Hill;RTS;MS-DOS;1995
1869;Max Design;Max Design;Strategy;MS-DOS;1992
1914 Shells of Fury;Randomeida;Strategy First;Simulation;Microsoft Windows;14 de agosto de 2007
1942: The Pacific Air War;Microprose;Microprose;Flight simulator;MS-DOS;1994
221B Baker Street;Datasoft;Datasoft;Puzzle;MS-DOS;1987
2400 A.D.;Origin Systems;Origin Systems;Adventure;MS-DOS, Apple II;1987
3-D Bomberman;Hudson Soft;Hudson Soft;Arcade, maze, strategy;;1984
3-Demon;PC research INC;;Adventure;DOS;1983
3D Construction Kit;Incentive Software;Domark;Simulation;MS-DOS;1§ de julho de 1991
3D Construction Kit II;Incentive Software;Domark;Simulation;MS-DOS;10 de novembro de 1992
3D Maze Man: Amazing Adventures;Webfoot Technologies;eGames Inc;Arcade;MS-DOS;1998
3DiTeams;Duke University Medical Center, Virtual Heroes, Inc.;Duke University Medical Center, Virtual Heroes, Inc.;Serious game;Microsoft Windows;1 de novembro de 2007
3Kingdoms;Project Community;;MUD;;1992
4D Sports Boxing;Distinctive Software;Mindscape;Sports;Amiga, DOS, Atari ST, macOS;15 de junho de 1991
4D Sports Tennis;Distinctive Software;Mindscape;Sports;DOS;1990
4 Elements;Playrix Entertainment;;Adventure Game;Microsoft Windows;3 de setembro de 2008
4Story;Zemi Interactive;Gameforge;MMORPG;Microsoft Windows;2008
4th & Inches;Accolade;;Sports, American football;Amiga, Commodore 64, Apple II, Apple IIGS, DOS;1987
4x4 Hummer;Avalon Entertainment;505 Games, 1C Company;Racing;Microsoft Windows;15 de junho de 2009
4x4 Off-Road Racing;Odan MicroDesign;Epyx;Racing;Amstrad CPC, Atari ST, Amiga, DOS, Commodore 64, MSX, ZX Spectrum;1988
5;Ram;Visual Art's;Eroge, visual novel;Microsoft Windows;25 de julho de 2008
5 A Day Adventures;;Dole Food Company;Education;Microsoft Windows;1994
50 Mission Crush;John Gray;Strategic Simulations, Inc;RPG;Apple II, Atari 8-bit family, Commodore 64, DOS;1984
500cc Grand Prix;Micro‹ds;Micro‹ds;Racing;Amstrad CPC, Atari ST, Commodore C64/128;1987
688(I) Hunter/Killer;Sonalysts Inc.;Electronic Arts;Submarine simulator;Microsoft Windows;4 de julho de 1997
7 Colors;Gamos Ltd.;Infogrames;Strategy;Amiga, DOS;1991
7554;Emobi Games;Emobi Games;First-person shooter;Microsoft Windows;16 de dezembro de 2011
7th Legion;Vision, Epic MegaGames;MicroProse;RTS;Microsoft Windows;30 de setembro de 1997
80 Days;Frogwares;;Adventure;Microsoft Windows;2005
8BitMMO;Archive Entertainment;;MMORPG;Microsoft Windows, Linux, macOS;14 de dezembro de 2013
9: The Last Resort;Tribeca Interactive;GT Interactive;Adventure game;Microsoft Windows, macOS;30 de setembro de 1996
