Nome;Desenvolvedor;Produtor;Genero(s);Sistema(s) Operacional(is);Data de lançamento
A-10 Cuba!;Parsoft Interactive;Activision;Flight simulator;Microsoft Windows, Mac;30 de novembro de 1996
A Girls Fabric Face;Stanislaw Truchowskit;TurnVex;Adventure;Microsoft Windows;10 de março de 2017
A Hat in Time;Gears for Breakfast;Gears for Breakfast;Platform, action-adventure;macOS, Microsoft Windows;5 de outubro de 2017
A Game of Thrones: Genesis;Cyanide;Focus Home Interactive;Strategy;Microsoft Windows;28 de setembro de 2011
ABC Sports Indy Racing;Shot Sports Software;ABC Interactive;Racing;Windows;1997
Abomination: The Nemesis Project;Hothouse Creations;Eidos Interactive;Action, real-time tactics;Microsoft Windows;1999
Ace Lightning;Absolute Studios;Gamezlab;Action-adventure, third person shooter, platform game;IBM PC;25 de outubro de 2002
Ace of Spades;Jagex;Jagex;FPS;Microsoft Windows, macOS;12 de dezembro de 2012
Ace Online;MasangSoft Inc.;Many;MMO, 3D Space Shooter;Microsoft Windows;26 de maio de 2006
Ace Ventura: The CD-Rom Game;7th Level;Bomico Entertainment Software;Graphic Adventure (Point-and-click);Microsoft Windows;31 de outubro de 1996
Aces of the Galaxy;Artech Digital Entertainment;Vivendi Games;Rail shooter;Microsoft Windows;4 de junho de 2008
Aces of the Pacific;Dynamix;Sierra Entertainment;Combat flight simulator;MS-DOS;8 de novembro de 1992
Achtung Spitfire!;Big Time Software;Avalon Hill;Strategy, Computer wargaming;Microsoft Windows;31 de agosto de 1997
Act of War: Direct Action;Eugen Systems;Atari, Inc.;RTS;Microsoft Windows;15 de março de 2005
Act of War: High Treason;Eugen Systems;Atari, Inc.;RTS;Microsoft Windows;24 de março de 2006
Action Quake 2;The A-Team;The A-Team;First-person shooter;BeOS, Linux, Mac OS, Microsoft Windows;12 de novembro de 1998
Activision Anthology;MumboJumbo, MacPlay;Activision;Compilation;Microsoft Windows, Macintosh;19 de novembro de 2002
Actua Ice Hockey;Gremlin Interactive;Gremlin Interactive;Sports;Microsoft Windows;1998
Actua Pool;Gremlin Interactive;Gremlin Interactive;Sports;Microsoft Windows;1999
Addiction Pinball;Team17;MicroProse;Pinball;Microsoft Windows;30 de abril de 1998
Advent Rising;GlyphX Games;Majesco Entertainment;Action-adventure, third-person shooter;Microsoft Windows;31 de maio de 2005
Adventure Pinball: Forgotten Island;Digital Extremes;Electronic Arts;Pinball;Microsoft Windows;21 de março de 2001
Adventures of Pip;Tic Toc Games;Tic Toc Games;Action, platform;Microsoft Windows;4 de junho de 2015
AdvertCity;VoxelStorm;VoxelStorm;Tycoon game;Microsoft Windows, Linux, macOS;17 de abril de 2015
Africa Trail;MECC;The Learning Company;Adventure, Educational, Simulation, Sports;Microsoft Windows, macOS;1995
After...;Ciel;Ciel;Visual novel;Microsoft Windows;27 de junho de 2003
Afterlife;LucasArts;LucasArts;God game;Microsoft Windows, macOS;1996
Agatha Christie: And Then There Were None;AWE Productions;The Adventure Company;Adventure;Microsoft Windows;30 de setembro de 2005
Agatha Christie: Evil Under the Sun;AWE Productions;The Adventure Company;Adventure;Microsoft Windows;16 de outubro de 2007
Agatha Christie: Murder on the Orient Express;AWE Productions;The Adventure Company;Adventure;Microsoft Windows;14 de novembro de 2006
Age of Booty;Certain Affinity;Capcom;Real-time strategy;Microsoft Windows;5 de março de 2009
Age of Chivalry;Team Chivalry;Team Chivalry;Action;Microsoft Windows;10 de setembro de 2007
Age of Conan;Funcom;Funcom;MMORPG;Microsoft Windows;20 de maio de 2008
Age of Empires;Ensemble Studios;Microsoft Game Studios;RTS;Microsoft Windows;15 de outubro de 1997
Age of Empires: The Rise of Rome;Ensemble Studios;Microsoft Game Studios;Real-time strategy;Microsoft Windows;31 de outubro de 1998
Age of Empires II: HD Edition;Hidden Path Entertainment, Ensemble Studios;Microsoft Game Studios;RTS;Microsoft Windows;9 de abril de 2013
Age of Empires II: The African Kingdoms;Ensemble Studios;Microsoft Game Studios;Real-time strategy;Microsoft Windows, macOS;9 de abril de 2015
Age of Empires II: The Age of Kings;Ensemble Studios;Microsoft Game Studios, Konami;RTS;Microsoft Windows;30 de setembro de 1999
Age of Empires II: The Conquerors;Ensemble Studios;Microsoft Game Studios, Konami;RTS;Microsoft Windows;24 de agosto de 2000
Age of Empires II: The Forgotten;Skybox Labs, Forgotten Empires LLC;Microsoft Game Studios;Real-time strategy expansion pack;Microsoft Windows;7 de novembro de 2013
Age of Empires III;Ensemble Studios;Microsoft Game Studios;Real-time strategy;Microsoft Windows, macOS;18 de outubro de 2005
Age of Empires III: The Asian Dynasties;Ensemble Studios,Big Huge Games;Microsoft Game Studios, MacSoft;Real-time strategy;Microsoft Windows, macOS;2 de novembro de 2007
Age of Empires III: The WarChiefs;Ensemble Studios;Microsoft Game Studios, MacSoft;Real-time strategy;Microsoft Windows, macOS;7 de outubro de 2006
Age of Mythology;Ensemble Studios;Microsoft Game Studios, MacSoft;RTS;Microsoft Windows;30 de outubro de 2002
Age of Pirates: Captain Blood;THQ;1C Company, MTV Games;Action-adventure;Microsoft Windows;Cancelado
Age of Pirates: Caribbean Tales;Akella;1C Company, Playlogic;Role-playing video game;Microsoft Windows;12 de setembro de 2006
Age of Pirates 2: City of Abandoned Ships;Akella;Playlogic;Role-playing video game;Microsoft Windows;26 de maio de 2009
Age of Wonders;Triumph Studios;Gathering of Developers;Turn-based strategy;Microsoft Windows;31 de outubro de 1999
Age of Wonders II: The Wizard's Throne;Triumph Studios;Take Two Interactive;Turn-based strategy;Microsoft Windows;12 de junho de 2002
Age of Wonders III;Triumph Studios;Triumph Studios;Turn-based strategy;Microsoft Windows, Linux, macOS;31 de março de 2014
Age of Wonders: Shadow Magic;Triumph Studios;Gathering of Developers;Turn-based strategy;Microsoft Windows;25 de julho de 2003
Air Conflicts: Secret Wars;Games Farm;bitComposer;Flight simulation;Microsoft Windows;30 de setembro de 2011
Air Conflicts: Vietnam;Games Farm;bitComposer;Flight simulation;Microsoft Windows;26 de novembro de 2013
Airscape: The Fall of Gravity;Cross-Product;Cross-Product;Platformer;Microsoft Windows, Linux, macOS;11 de agosto de 2015
Alan Wake;Remedy Entertainment;Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier;Survival horror;Microsoft Windows;14 de maio de 2010
Alien Swarm;Valve Corporation;Valve Corporation;Shoot-em-up;Microsoft Windows;19 de julho de 2010
Alpha Prime;Black Element Software;IDEA Games, Meridian4, Bohemia Interactive;FPS;Microsoft Windows;25 de maio de 2007
Amnesia: The Dark Descent;Frictional Games;Frictional Games;Horror game;Microsoft Windows, Linux, macOS;8 de agosto de 2010
Amnesia: A Machine for Pigs;The Chinese Room;Frictional Games;Horror game;Microsoft Windows, Linux, macOS;10 de setembro de 2013
