Nome	Desenvolvedor	Editor	Gênero (s)	Sistema(s) Operacional(is)	Data de lançamento							
Baldur's Gate	BioWare	Black Isle Studios, Interplay Entertainment	Role-playing	Microsoft Windows, macOS	21 de dezembro de 1998							
Baldur's Gate: Tales of the Sword Coast	BioWare	Black Isle Studios, Interplay Entertainment	Role-playing	Microsoft Windows, macOS	30 de abril de 1999							
Baldur's Gate II: Shadows of Amn	BioWare	Black Isle Studios, Interplay Entertainment	Role-playing	Microsoft Windows, macOS	24 de setembro de 2000							
Baldur's Gate II: Throne of Bhaal	BioWare	Black Isle Studios, Interplay Entertainment	Role-playing	Microsoft Windows, macOS	21 de junho de 2001							
Banished	Shining Rock Software	Shining Rock Software	City building, strategy	Microsoft Windows	18 de fevereiro de 2014							
Bastion	Supergiant Games	Warner Bros. Interactive Entertainment	Action, role-playing	Microsoft Windows, Linux, macOS	16 de agosto de 2011							
Batman: Arkham Asylum	Rocksteady Studios	Warner Bros. Interactive Entertainment	Action, adventure	Microsoft Windows, macOS	15 de setembro de 2009							
Batman: Arkham City	Rocksteady Studios	Warner Bros. Interactive Entertainment	Action, adventure	Microsoft Windows, macOS	18 de outubro de 2011							
Batman: Arkham Knight	Rocksteady Studios	Warner Bros. Interactive Entertainment	Action, adventure	Microsoft Windows	2 de junho de 2015							
Batman: Arkham Origins	WB Games Montréal, Splash Damage	Warner Bros. Interactive Entertainment	Action, adventure	Microsoft Windows	25 de outubro de 2013							
BattleBlock Theater	The Behemoth	The Behemoth	Platformer	Microsoft Windows, Linux	15 de maio de 2014							
Battlefield 1942	Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows, macOS	10 de setembro de 2002							
Battlefield 1942: The Road to Rome	Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows	2 de fevereiro de 2003							
Battlefield 1942: Secret Weapons of WWII	Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows, macOS	4 de setembro de 2003							
Battlefield 2	Digital Illusions CE	EA Games	First-person shooter	Microsoft Windows	21 de junho de 2005							
Battlefield 2142	EA Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows, macOS	17 de outubro de 2006							
Battlefield 3	EA Digital Illusions CE	Sega, Electronic Arts	First-person shooter	Microsoft Windows	25 de outubro de 2011							
Battlefield 4	EA Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows	29 de outubro de 2013							
Battlefield Heroes	EA Digital Illusions CE, Easy Studios	Electronic Arts, Aeria Games	First-person shooter	Microsoft Windows	25 de junho de 2009							
Battlefield Play4Free	EA Digital Illusions CE, Easy Studios	Electronic Arts	First-person shooter	Microsoft Windows	4 de abril de 2011							
Battlefield V	EA Digital Illusions CE	Electronic Arts	First-person shooter	Microsoft Windows	19 de outubro de 2018							
Battleforge	EA Phenomic	Electronic Arts	RTS	Microsoft Windows	23 de março de 2009							
Battleground 2: Gettysburg	TalonSoft	TalonSoft	Turn-based strategy, real-time tactics	Microsoft Windows	31 de dezembro de 1995							
Battleground 3: Waterloo	TalonSoft	TalonSoft	Turn-based strategy, real-time tactics	Microsoft Windows	31 de maio de 1996							
